Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Qué antigua biblioteca fue una de las más grandes y significativas en el mundo antiguo?;Media;Biblioteca de Alejandría;Biblioteca de Pérgamo;Biblioteca de Celsus;Biblioteca de Ashurbanipal
¿Cuál fue el primer país en reconocer la independencia de los Estados Unidos?;Media;Francia;España;Países Bajos;Gran Bretaña
¿Qué reina inglesa es conocida por haber establecido una iglesia protestante independiente?;Media;Isabel I;Victoria;Ana Bolena;María I
¿A qué período pertenece la conocida Edad del Bronce?;Media;2200-700 a.C.;3200-1200 a.C.;4000-2000 a.C.;2800-500 a.C.
¿Qué acontecimiento marcó el comienzo de la Edad Contemporánea?;Media;La Revolución Francesa;La Revolución Industrial;La caída del Muro de Berlín;El descubrimiento de América
¿Quién fundó la dinastía Ming, que gobernó China durante casi 300 años?;Media;Zhu Yuanzhang;Kublai Khan;Confucio;Sun Yat-sen
¿Qué evento desató la Crisis de los Misiles en 1962?;Media;Instalación de misiles soviéticos en Cuba;Invasión de la Bahía de Cochinos;Asesinato de John F. Kennedy;Guerra de Vietnam
¿Durante qué conflicto fue la Batalla de Verdún, una de las más largas y sangrientas de la historia militar?;Media;Primera Guerra Mundial;Segunda Guerra Mundial;Guerra Franco-Prusiana;Las Guerras Napoleónicas
¿Cuál fue el año en que se firmó la Carta Magna en Inglaterra, considerada un símbolo de la libertad?;Media;1215;1415;1315;1515
¿Qué emperador romano dividió el imperio en oriental y occidental?;Media;Diocleciano;Constantino;Augusto;Julio César
¿Qué evento importante ocurrió el 7 de diciembre de 1941?;Media;Ataque a Pearl Harbor;Desembarco de Normandía;Firma del armisticio de la Primera Guerra Mundial;Caída del Muro de Berlín
¿Cuál fue el último zar de Rusia antes de la Revolución de 1917?;Media;Nicolás II;Alejandro II;Pedro I;Iván IV
¿Qué movimiento cultural y filosófico destacó por la promoción de la razón y el conocimiento durante el siglo XVIII?;Media;Ilustración;Renacimiento;Romanticismo;Barroco
¿Quién fue el científico y polímata árabe famoso por sus escritos en medicina durante la Edad de Oro islámica?;Media;Avicena;Al-Razi;Al-Farabi;Alhacén
¿Qué acorazado fue hundido en 1916 durante la Batalla de Jutlandia, la mayor batalla naval de la Primera Guerra Mundial?;Media;HMS Queen Mary;USS Arizona;Bismarck;Yamato
¿Cuál es el nombre del samurái que se convirtió en el primer 'Shogun' del período Kamakura en Japón?;Media;Minamoto no Yoritomo;Oda Nobunaga;Tokugawa Ieyasu;Toyotomi Hideyoshi
¿Cuál fue la principal alianza militar entre los Estados comunistas de Europa durante la Guerra Fría?;Media;Pacto de Varsovia;OTAN;Liga de Naciones;Eje Roma-Berlín-Tokio
¿Cómo se llamaba la estrategia de 'tierra quemada' utilizada por los soviéticos en la Segunda Guerra Mundial?;Media;Orden 227;Blitzkrieg;Plan Marshall;Operación Barbarroja
¿En qué año fue firmado el Tratado de Tordesillas, que dividía los territorios del Nuevo Mundo entre España y Portugal?;Media;1494;1502;1512;1520
¿Qué civilización antigua fue la primera en implementar la democracia como forma de gobierno?;Media;Atenas;Roma;Egipto;Babilonia
¿Quién fue el presidente de los Estados Unidos durante la compra de Louisiana?;Media;Thomas Jefferson;George Washington;Abraham Lincoln;James Madison
¿Qué revuelta es conocida por la frase '¡No hay pan para tanto chorizo!' en el contexto de la lucha obrera?;Media;Revolución rusa de 1917;La Comuna de París;La Revolución Industrial;El Movimiento de los Derechos Civiles
¿Cuál fue la causa principal de la Guerra de las Rosas en Inglaterra?;Media;Disputas dinásticas;Reforma religiosa;Política expansionista;Tratados comerciales
¿Qué general cartaginés lideró un ejército a través de los Alpes para enfrentarse a Roma?;Media;Aníbal;Asdrúbal;Magón;Hannón
¿Qué reina británica estableció la Iglesia de Inglaterra separada de la autoridad del Papa?;Media;Enrique VIII;Isabel I;Enrique IV;Eduardo VI
¿En qué ciudad fue asesinado el archiduque Francisco Fernando desencadenando la Primera Guerra Mundial?;Media;Sarajevo;Viena;Belgrado;Múnich
¿Qué importante documento emitió el rey Juan Sin Tierra de Inglaterra en 1215?;Media;Magna Carta;Doce Tablas;Declaración de Derechos;Código de Hammurabi
¿Qué emperatriz de Rusia es conocida por su política de expansión y modernización en el siglo XVIII?;Media;Catalina la Grande;María I de Escocia;Isabel de Rusia;Ana de Rusia
¿Qué país africano fue fundado por esclavos liberados de Estados Unidos en el siglo XIX?;Media;Liberia;Etiopía;Nigeria;Ghana
¿Cuál fue el primer emperador de la dinastía Han en China?;Media;Liu Bang;Qin Shi Huang;Sun Quan;Yang Jian
¿Qué batalla marcó el final de la supremacía naval de España en 1588?;Media;Derrota de la Armada Invencible;Batalla de Lepanto;Batalla de Trafalgar;Batalla de Midway
¿Qué filósofo griego fue condenado a muerte por corromper a la juventud y no reconocer a los dioses de la ciudad?;Media;Sócrates;Platón;Aristóteles;Heráclito
¿Quién fue el primer presidente de la República de Turquía después del colapso del Imperio Otomano?;Media;Mustafa Kemal Atatürk;Abdul Hamid II;Mehmed VI;Recep Tayyip Erdoğan
¿Qué dinastía gobernó Rusia desde el siglo XVII hasta la Revolución de 1917?;Media;Dinastía Románov;Dinastía Rúrik;Dinastía Ming;Dinastía Pahlaví
¿Qué acontecimiento se considera el inicio de la Edad Media?;Media;Caída del Imperio Romano de Occidente;Construcción de la Gran Muralla China;Descubrimiento de América;Invasión de los bárbaros
¿Quién fue conocido como el 'Cid Campeador', un héroe nacional de España?;Media;Rodrigo Díaz de Vivar;El rey Fernando III;El rey Alfonso X;Hernán Cortés
¿Qué sultán otomano conquistó Constantinopla en 1453, marcando el fin del Imperio Bizantino?;Media;Mehmed II;Suleimán el Magnífico;Selim I;Bayezid II
¿Qué conflicto bélico se conoce comúnmente como la 'Guerra Olvidada', a pesar de haber ocurrido en el siglo XX?;Media;Guerra de Corea;Guerra de Vietnam;Guerra del Golfo;Guerra de los Boers
¿En qué año comenzó la Revolución Cultural en China, liderada por Mao Zedong?;Media;1966;1949;1976;1989
¿Qué tratado en 1763 puso fin a la Guerra de los Siete Años en Europa?;Media;Tratado de París;Tratado de Versalles;Tratado de Westfalia;Tratado de Utrecht
¿Quién era el lider comunista chino que estableció la República Popular China en 1949?;Media;Mao Zedong;Chiang Kai-shek;Deng Xiaoping;Sun Yat-sen
¿Qué famoso explorador llegó a América en 1492 pensando que había encontrado una nueva ruta hacia Asia?;Media;Cristóbal Colón;Fernando de Magallanes;John Cabot;Vasco da Gama
¿Qué antigua ciudad fue destruida por la erupción del Monte Vesubio en el año 79 d.C.?;Media;Pompeya;Cartago;Babilonia;Atenas
¿Qué guerra tuvo lugar entre 1950 y 1953 y terminó con un armisticio en lugar de un tratado de paz?;Media;Guerra de Corea;Guerra de Vietnam;Guerra del Golfo Pérsico;Guerra Franco-Prusiana
¿Quién escribió la famosa obra 'Utopía' en el siglo XVI, que describe una sociedad ideal?;Media;Tomás Moro;Platón;Francis Bacon;Aristóteles
¿Qué revolución en el siglo XIX llevó a la unificación de varios estados alemanes en un solo Imperio Alemán?;Media;Revolución Alemana de 1848-1849;Revolución de Marzo;Revolución Rusa;La Guerra civil Americana
¿Quién fue conocido como el 'Libertador' por su papel en la independencia de varios países sudamericanos del dominio español?;Media;Simón Bolívar;José de San Martín;Antonio José de Sucre;Francisco de Paula Santander
¿Cuál es el nombre del paquete de leyes que se promulgaron en los Estados Unidos en 1787 y son la base de su Constitución?;Media;Los Artículos de la Confederación;La Carta de Derechos;El Acta de Independencia;La Declaración Universal de los Derechos Humanos
¿Cómo se llamaban las naves lideradas por Cristóbal Colón en su primer viaje al Nuevo Mundo?;Media;La Santa María, La Niña, La Pinta;El Victoria, El Trinidad, El San Antonio;La Mayflower, La Speedwell, La Discovery;El Endeavour, El Resolution, El Adventure
¿Qué rey inglés es famoso por haber tenido seis esposas y por separar a Inglaterra de la Iglesia Católica?;Media;Enrique VIII;Carlos I;Eduardo VI;Jacob I
¿En qué período de la historia de Japón los samuráis eran la clase guerrera dominante?;Media;Período feudal;Período Heian;Período Jōmon;Período Meiji
¿Qué importante documento redactó Simón Bolívar en 1812, donde expresa su visión sobre la sociedad y el gobierno?;Media;Carta de Jamaica;Decreto de Guerra a Muerte;Manifiesto de Cartagena;Proclama de Quinta de Bolívar
¿Quién fue el primer monarca del Imperio carolingio?;Media;Carlomagno;Pepino el Breve;Luis el Piadoso;Carlos Martel
¿Cuál guerra se caracterizó por la batalla de algunas de las trincheras más famosas y duró de 1914 a 1918?;Media;Primera Guerra Mundial;Segunda Guerra Mundial;Guerra de los Treinta Años;Guerras Napoleónicas
¿Qué emperador romano es conocido por haber convocado el Concilio de Nicea en el año 325?;Media;Constantino I;Augusto;Nerón;Trajano
¿Qué era el 'Apartheid', una política que se abolió en la década de 1990?;Media;Segregación racial en Sudáfrica;Sistema político en la Unión Soviética;Movimiento de independencia en India;Política de neutralidad en Suiza
¿Qué dinastía china es conocida por ser la última antes de la formación de la República de China en 1912?;Media;Dinastía Qing;Dinastía Ming;Dinastía Shang;Dinastía Zhou
¿Qué tratado internacional intentó establecer la paz mundial después de la Primera Guerra Mundial?;Media;Tratado de Versalles;Tratado de Tordesillas;Congreso de Viena;Tratado de Nanking
¿Quién dirigió la Defensa de Rorke's Drift durante la Guerra Anglo-Zulú en 1879?;Media;Teniente John Chard;General Charles Gordon;Teniente General Lord Chelmsford;Coronel Durnford
¿Qué líder español formó una dictadura tras la Guerra Civil Española?;Media;Francisco Franco;José Antonio Primo de Rivera;Manuel Azaña;Alfonso XIII
¿Qué mujer gobernó Egipto como faraón desde 1473 hasta 1458 a.C.?;Media;Hatshepsut;Cleopatra VII;Nefertari;Nefertiti
¿Qué construcción defensiva fue erigida principalmente durante la dinastía Ming para proteger China de invasiones?;Media;Gran Muralla China;Ciudad Prohibida;Palacio de Verano;Gran Canal
¿Qué famoso documento fue firmado a bordo del barco Mayflower en 1620?;Media;Compacto del Mayflower;Declaración de Independencia de los EE. UU.;Constitución de los EE. UU.;Los Artículos de la Confederación
¿Qué revolucionario cubano y líder político se convirtió en el primer Ministro de Industrias de Cuba en 1961?;Media;Che Guevara;Fidel Castro;Camilo Cienfuegos;Raúl Castro
¿Qué cultivo fue central para la economía de las colonias del sur de los Estados Unidos antes de la guerra civil?;Media;Algodón;Tabaco;Maíz;Trigo
¿Qué batalla de la Segunda Guerra Mundial es también conocida como Operación Overlord?;Media;Desembarco de Normandía;Batalla de Stalingrado;Batalla de las Ardenas;Batalla de Kursk
¿Cuál fue el conflicto armado que provocó la primera intervención militar de los Estados Unidos en Asia, en 1899-1902?;Media;Guerra filipino-estadounidense;Guerra de Corea;Guerra de Vietnam;Guerra ruso-japonesa
¿Qué presidente estadounidense es reconocido por la doctrina homónima, que advierte contra la intervención europea en las Américas?;Media;James Monroe;George Washington;Thomas Jefferson;John Quincy Adams
¿Cuál fue el principal motivo de la guerra del Opio entre Gran Bretaña y China?;Media;Disputas comerciales sobre el opio;Conflictos territoriales;Disagreements over religion;Alliances with different European powers
¿Qué emperador romano construyó un muro en el norte de Britania para proteger el imperio de las tribus pictas?;Media;Adriano;Augusto;Trajano;Calígula
¿En qué guerra participaron los famosos combatientes conocidos como 'los casacas rojas'?;Media;Guerra de Independencia de los Estados Unidos;Guerra de los Siete Años;Guerras Napoleónicas;Primera Guerra Mundial
¿Qué famosa batalla liderada por el Duque de Wellington derrotó definitivamente a Napoleón Bonaparte?;Media;Batalla de Waterloo;Batalla de Trafalgar;Batalla de Borodinó;Batalla de Austerlitz
¿Qué antiguo reino se ubicaba principalmente en lo que hoy es el país occidental de Etiopía?;Media;Reino de Aksum;Imperio de Mali;Reino de Kush;Reino de Ghana
¿Qué rey francés fue conocido como 'el Rey Sol'?;Media;Luis XIV;Luis XVI;Carlos IX;Enrique IV
¿Cuál es el nombre del conflicto bélico entre las fuerzas de los Roundheads y los Cavaliers en el siglo XVII en Inglaterra?;Media;Guerra Civil Inglesa;Batalla de Agincourt;Revolución Gloriosa;Guerras de las Rosas
¿Qué líder militar vietnamita fue crucial para la victoria del norte en la Guerra de Vietnam?;Media;Vo Nguyen Giap;Ho Chi Minh;Pham Van Dong;Ngo Dinh Diem
¿Quién fue el emperador de Etiopía durante la invasión italiana en 1935?;Media;Haile Selassie;Menelik II;Tewodros II;Yohannes IV
¿Qué sultán otomano es conocido por su asedio fallido a Viena en 1529?;Media;Solimán el Magnífico;Mehmed II;Selim I;Murad IV
¿Qué emperatriz rusa autorizó la colonización de Alaska en el siglo XVIII?;Media;Catalina la Grande;Isabel I;Ana de Rusia;Sofía Alekseyevna
¿Qué líder mongol fundó la dinastía Yuan en China?;Media;Kublai Khan;Genghis Khan;Ögedei Khan;Batu Khan
¿Qué explorador portugués fue el primero en navegar directamente de Europa a la India?;Media;Vasco da Gama;Pedro Álvares Cabral;Fernando de Magallanes;Cristóbal Colón
¿Qué acontecimiento en 1789 inició un periodo de cambio radical y transformación social en Francia?;Media;Revolución Francesa;Toma de la Bastilla;Revolución de 1830;Revolución Industrial
¿Cómo se llamaba el tratado que estableció la paz entre Egipto e Israel en 1979?;Media;Tratados de Camp David;Acuerdo de Oslo;Acuerdo de Sykes-Picot;Tratado de Sèvres
¿Qué líder sudafricano fue encarcelado durante 27 años antes de convertirse en presidente?;Media;Nelson Mandela;Desmond Tutu;Thabo Mbeki;Jacob Zuma
¿Qué batalla fue el punto de giro en el Pacífico durante la Segunda Guerra Mundial en 1942?;Media;Batalla de Midway;Batalla de Coral Sea;Batalla de Guadalcanal;Batalla de Iwo Jima
¿Qué pensador y líder de la independencia india promovió la no violencia y la desobediencia civil?;Media;Mahatma Gandhi;Jawaharlal Nehru;Subhas Chandra Bose;Rabindranath Tagore
¿Qué tratado puso fin a la Revolución Mexicana al establecer la actual Constitución de México en 1917?;Media;Constitución de 1917;Tratado de Guadalupe Hidalgo;Plan de Ayala;Tratado de Ciudad Juárez
¿Cuál era el nombre completo del famoso libertador sudamericano conocido como 'El Libertador'?;Media;Simón José Antonio de la Santísima Trinidad Bolívar Palacios;Francisco José de Paula Santander;José Francisco de San Martín;Antonio José de Sucre
¿Qué desastre natural destruyó gran parte de Lisboa en 1755, cambiando el curso del urbanismo europeo?;Media;Terremoto de Lisboa;Gran Incendio de Londres;Erupción del Monte Tambora;Inundación del río Támesis
¿Qué famoso discurso pronunciado por Abraham Lincoln comenzó con las palabras 'Hace cuatro score y siete años...'?;Media;Discurso de Gettysburg;Discurso de la Inauguración;Discurso de la Casa Dividida;Discurso sobre la Emancipación
¿Quién fue el último zar de Rusia antes de la abdicación durante la Revolución de Febrero?;Media;Nicolás II;Alejandro II;Alejandro III;Pedro el Grande
¿Qué famoso enfrentamiento entre facciones cristianas y musulmanas tuvo lugar entre los siglos XI y XIII?;Media;Las Cruzadas;La Reconquista;Las Guerras de los Condottieros;La Guerra de los Ochenta Años
¿Cuál era la ciudad-estado griega conocida por su enfoque militarista y su sociedad espartana?;Media;Esparta;Atenas;Corinto;Tebas
¿Qué documento, redactado principalmente por Thomas Jefferson, anunció la separación de las Trece Colonias de Gran Bretaña?;Media;Declaración de Independencia de los Estados Unidos;Constitución de los Estados Unidos;Bill of Rights;Los Artículos de la Confederación
¿Qué nombre se le dio a la rápida expansión militar del Imperio islámico a partir del siglo VII?;Media;Conquistas islámicas;Guerras Púnicas;Invasión Mongola;Guerras de Alejandro Magno
¿Qué emperador japonés presidió la restauración que devolvió el poder político al emperador y modernizó Japón?;Media;Emperador Meiji;Emperador Taishō;Emperador Shōwa;Emperador Akihito
¿Cuál fue el primer país en conceder a las mujeres el derecho al voto en 1893?;Media;Nueva Zelanda;Australia;Finlandia;Estados Unidos
¿Quién fue el principal autor de la Constitución de los Estados Unidos, a menudo llamado el 'Padre de la Constitución'?;Media;James Madison;George Washington;Alexander Hamilton;John Adams
¿Qué período sigue inmediatamente a la caída del Imperio Romano de Occidente, marcando el comienzo de la Edad Media?;Media;Antigüedad tardía;La Alta Edad Media;El Renacimiento Carolingio;El Siglo de Oro bizantino
¿Qué emperador romano es famoso por haber construido un muro a lo largo del límite norte de Britania?;Media;Adriano;Trajano;Augusto;Nerón
¿Qué periodo de conflicto entre el Reino de Gran Bretaña y las Trece Colonias llevó a la creación de los Estados Unidos?;Media;Guerra de Independencia de Estados Unidos;Guerra de 1812;Guerras Napoleónicas;Guerra de los Siete Años
¿Cuál fue la conferencia de paz que terminó con la Primera Guerra Mundial y redibujó el mapa de Europa?;Media;Conferencia de Paz de París;Conferencia de Yalta;Conferencia de Potsdam;Conferencia de Versalles
¿Qué civilización antigua es famosa por desarrollar un sistema de escritura jeroglífica?;Media;Egipcia;Sumeria;Azteca;Maya
¿Qué explorador es conocido por su expedición que fue la primera en circunnavegar la Tierra?;Media;Fernando de Magallanes;James Cook;Marco Polo;Vasco Núñez de Balboa
¿Cuál era el nombre del conflicto armado que enfrentó a tropas patrióticas y realistas en Sudamérica entre 1810 y 1825?;Media;Guerras de independencia hispanoamericanas;Guerra Hispano-Estadounidense;Guerra del Pacífico;Guerra Grande
¿Quién fue el histórico líder soviético durante la crisis de los misiles en Cuba?;Media;Nikita Jrushchov;Leonid Brezhnev;Joseph Stalin;Mijaíl Gorbachov
¿Qué grupo de islas fue el centro del conflicto bélico entre el Reino Unido y Argentina en 1982?;Media;Islas Malvinas;Islas Canarias;Islas Baleares;Islas Caimán
¿Cuál era el nombre de la alianza militar entre Bélgica, el Reino Unido, Francia y Rusia durante la Primera Guerra Mundial?;Media;Entente;Aliados;Eje;Potencias Centrales
¿Qué líder revolucionario ruso fue asesinado en México en 1940?;Media;León Trotsky;Vladimir Lenin;Nikolai Bukharin;Alexei Rykov
¿Qué gran líder persa fundó el Imperio aqueménida?;Media;Ciro el Grande;Darío I;Jerjes I;Cambises II
¿Qué reina inglesa es conocida por haber establecido una alianza con Escocia y haber rechazado matrimonios diplomáticos?;Media;Isabel I;María I;Victoria;Ana de Gran Bretaña
¿Qué dinastía gobernó principalmente en el noreste de la India desde el primer siglo d.C. hasta el siglo III d.C.?;Media;Dinastía Gupta;Dinastía Maurya;Dinastía Chola;Dinastía Mughal
¿Qué histórico conflicto ocurrió entre los años 1954 y 1962, llevando a la independencia de Argelia de Francia?;Media;Guerra de independencia de Argelia;Guerra de los Seis Días;Crisis del Suez;Primera Guerra del Congo
¿Qué grupo armado liderado por Emiliano Zapata fue central en la Revolución Mexicana?;Media;Ejército Libertador del Sur;Los Dorados;División del Norte;Cristeros
¿En qué año China recuperó la soberanía sobre Hong Kong, tras más de un siglo de control británico?;Media;1997;1984;2007;1972
¿Qué conflicto se conoció como la 'Guerra de la Triple Alianza' en Sudamérica?;Media;Guerra del Paraguay;Guerra del Chaco;Guerra de la Independencia;Guerra de Arauco
¿Qué emperador bizantino es famoso por su codificación del derecho romano conocida como el 'Código de Justiniano'?;Media;Justiniano I;Constantino I;Teodosio I;Manuel I Comneno
¿Qué monarca inglés fue depuesto durante la Revolución Gloriosa de 1688?;Media;Jacobo II;Carlos II;Guillermo III;Jorge I
¿Qué líder político fue el arquitecto principal detrás de la descolonización de la India británica?;Media;Jawaharlal Nehru;Mahatma Gandhi;Muhammad Ali Jinnah;Lord Mountbatten
¿Qué general romano se hizo famoso por derrotar a Aníbal en la Batalla de Zama?;Media;Escipión el Africano;Julio César;Marco Antonio;Pompeyo
¿Cuál fue la principal causa de la Guerra de Secesión en Estados Unidos?;Media;Esclavitud;Impuestos sobre el té;Derechos de los estados;Expansionismo territorial
¿Qué rey de Inglaterra firmó la Carta Magna en 1215 limitando los poderes de la monarquía?;Media;Juan Sin Tierra;Enrique II;Ricardo Corazón de León;Eduardo I
¿Qué líder realizó la Larga Marcha con los comunistas chinos en 1934?;Media;Mao Zedong;Chiang Kai-shek;Zhou Enlai;Deng Xiaoping
¿Quién fue elegido canciller de Alemania en 1933 y posteriormente se convirtió en Führer?;Media;Adolf Hitler;Paul von Hindenburg;Heinrich Brüning;Joseph Goebbels
¿Qué famosa batalla es considerada el punto de inflexión en la expansión islámica en Europa en el siglo VIII?;Media;Batalla de Tours;Batalla de las Navas de Tolosa;Sitio de Viena;Batalla de Lepanto
¿Qué conflicto armado resultó en la primera victoria importante de los colonos americanos durante la Guerra de Independencia?;Media;Batalla de Saratoga;Batalla de Bunker Hill;Batalla de Yorktown;Batalla de Trenton
¿Qué reconocido arquitecto diseñó la catedral de San Pablo en Londres tras el Gran Incendio de 1666?;Media;Christopher Wren;Inigo Jones;John Vanbrugh;Nicholas Hawksmoor
¿Qué evento marcó el inicio oficial del Imperio Romano en el año 27 a.C.?;Media;Primera constitución de Augusto;Asesinato de Julio César;Batalla de Actium;Segundo Triunvirato
¿Qué movimiento político y social a mediados del siglo XIX buscaba la abolición de la esclavitud en Estados Unidos?;Media;Abolicionismo;Sufragismo;Progresismo;Republicanism
¿Qué acuerdo de paz se negoció en 1919 y obligó a Alemania a aceptar la responsabilidad por la Primera Guerra Mundial?;Media;Tratado de Versalles;Tratado de Brest-Litovsk;Tratado de Trianon;Tratado de Saint-Germain
¿Quién fue el líder del Imperio mongol sucesor de Genghis Khan y continuó su expansión a través de Asia?;Media;Ögedei Khan;Kublai Khan;Batú Khan;Tolui
¿Qué monarca inglés es conocida por su reinado durante la época victoriana y por ser emperatriz de la India?;Media;Reina Victoria;Reina Isabel II;Reina Ana;Reina María I
¿Cuál fue el principal motivo de conflicto en la Segunda Guerra de los Opio entre 1856 y 1860?;Media;Expansión del comercio de opio;Desacuerdos de soberanía territorial;Derechos de navegación;Colonización occidental
¿Qué líder nacionalista irlandés fue una figura clave en las negociaciones del Tratado Anglo-Irlandés de 1921?;Media;Michael Collins;Éamon de Valera;James Connolly;Patrick Pearse
¿Cuál era el título del líder de la Unión Soviética durante la mayor parte del siglo XX?;Media;Secretario General del Partido Comunista;Primer Ministro;Presidente;Zar
¿Qué líder africano es conocido por su lucha contra el apartheid y se convirtió en el primer presidente negro de Sudáfrica?;Media;Nelson Mandela;Desmond Tutu;Oliver Tambo;Walter Sisulu
¿En qué ciudad se realizó la Conferencia de Paz de 1919 que puso fin a la Primera Guerra Mundial?;Media;París;Ginebra;Versalles;Yalta
¿Qué líder soviético implementó la política de 'Perestroika' en los años 80?;Media;Mijaíl Gorbachov;Leonid Brezhnev;Nikita Jrushchov;Yuri Andrópov
¿Qué evento disparó la Guerra Hispano-Estadounidense en 1898?;Media;Hundimiento del USS Maine;Batalla de San Juan Hill;Bloqueo de Cuba;Tratado de París
¿Cuál fue el nombre del acuerdo que dividió a Alemania en zonas de ocupación tras el final de la Segunda Guerra Mundial?;Media;Conferencia de Potsdam;Conferencia de Yalta;Tratado de Versalles;Pacto de Varsovia
¿Qué conflicto bélico originó la famosa 'Carga de la Brigada Ligera' inmortalizada en un poema por Alfred Tennyson?;Media;Guerra de Crimea;Guerra de los Siete Años;Primera Guerra Mundial;Guerra Franco-Prusiana
¿Qué importante científico publicó el libro 'Principia Mathematica' en 1687?;Media;Isaac Newton;Albert Einstein;Galileo Galilei;Nikola Tesla
¿Qué general unionista es conocido por su Marcha al Mar durante la Guerra Civil Americana?;Media;William Tecumseh Sherman;Ulysses S. Grant;Robert E. Lee;Thomas Stonewall Jackson
¿Qué civilización mesoamericana es famosa por sus monumentales cabezas de piedra?;Media;Olmeca;Maya;Azteca;Tolteca
¿Quién fue el primer Primer Ministro de la India después de su independencia en 1947?;Media;Jawaharlal Nehru;Mahatma Gandhi;Indira Gandhi;Lal Bahadur Shastri
¿Qué acto de 1765 provocó el descontento en las colonias americanas al imponer un sellado obligatorio de documentos y periódicos?;Media;Ley del Timbre;Ley del Té;Acta de Navegación;Acta de la Intolerable
¿Qué rey inglés fue derrotado en la Batalla de Bosworth Field, poniendo fin a la Guerra de las Rosas?;Media;Ricardo III;Enrique IV;Enrique VII;Eduardo IV
¿Qué emperador bizantino intentó restaurar la grandeza del Imperio Romano en el siglo VI?;Media;Justiniano I;Constantino I;Basilio II;Heraclio
¿Qué movimiento artístico y cultural dominó Europa desde finales del siglo XIV hasta principios del siglo XVII?;Media;Renacimiento;Barroco;Romanticismo;Gótico
¿Qué rey de Francia fue conocido como el 'Rey Sol' y construyó el palacio de Versalles?;Media;Luis XIV;Luis XVI;Carlos IX;Felipe II
¿Qué líder vietnamita proclamó la independencia de Vietnam del dominio francés en 1945?;Media;Ho Chi Minh;Ngo Dinh Diem;Vo Nguyen Giap;Le Duan
¿Qué vasto imperio fue gobernado por dinastías como la de los Timúridas y los Ilkhanatos?;Media;Imperio Mongol;Imperio Otomano;Imperio Safávida;Imperio Persa
