Pregunta;Dificultad;Respuesta correcta;Respuesta incorrecta 1;Respuesta incorrecta 2;Respuesta incorrecta 3
¿Qué personaje es conocido como 'el detective consultor'?;Fácil;Sherlock Holmes;Hércules Poirot;Philip Marlowe;Miss Marple
¿Qué famosa novelista británica escribió 'Sentido y Sensibilidad'?;Fácil;Jane Austen;Agatha Christie;Mary Shelley;Charlotte Brontë
¿En qué novela de Mark Twain un joven llamado Huckleberry Finn es protagonista?;Fácil;Las aventuras de Huckleberry Finn;Las aventuras de Tom Sawyer;Un yanqui en la corte del rey Arturo;Vida en el Misisipi
¿Dónde vive el Conde Drácula en la novela de Bram Stoker?;Fácil;Transilvania;Rumanía;Baviera;Wallachia
¿Cuál es la nacionalidad del famoso poeta y dramaturgo William Shakespeare?;Fácil;Inglés;Escocés;Irlandés;Francés
¿Qué novela comienza con la línea 'Llamadme Ishmael'?;Fácil;Moby Dick;El viejo y el mar;La letra escarlata;La isla del tesoro
¿Quién escribió 'Crimen y Castigo'?;Fácil;Fiódor Dostoievski;León Tolstói;Anton Chejov;Iván Turguénev
¿Qué personaje es el protagonista en 'El cuaderno de Noah' de Nicholas Sparks?;Fácil;Noah Calhoun;Landon Carter;John Tyree;Jeremy Marsh
¿Qué obra de teatro de Shakespeare incluye a los personajes de Oberón y Titania?;Fácil;El sueño de una noche de verano;La tempestad;Como gustéis;Macbeth
¿De qué época es el libro 'La Odisea'?;Fácil;Antigua Grecia;Renacimiento;Edad Media;Siglo XIX
¿Qué escritor creó el personaje de James Bond?;Fácil;Ian Fleming;Tom Clancy;John le Carré;Robert Ludlum
¿Quién es el autor de 'La Vuelta al Mundo en 80 Días'?;Fácil;Julio Verne;H.G. Wells;Daniel Defoe;Mark Twain
¿Qué apellido comparten las hermanas escritoras Charlotte, Emily y Anne?;Fácil;Brontë;Austen;Eliot;Woolf
¿Quién escribió 'El Principito'?;Fácil;Antoine de Saint-Exupéry;Roald Dahl;C.S. Lewis;Lewis Carroll
¿Quién es el autor de 'Pedro Páramo'?;Fácil;Juan Rulfo;Gabriel García Márquez;Carlos Fuentes;Octavio Paz
¿Cuál es el título de la secuela de 'Alicia en el País de las Maravillas'?;Fácil;A través del espejo;Alicia en el País de las Pesadillas;Alicia y el Viaje Marítimo;El Regreso de Alicia
¿Quién escribió 'La isla del tesoro'?;Fácil;Robert Louis Stevenson;Herman Melville;Jules Verne;Daniel Defoe
¿Cuál es el primer nombre del famoso personaje Mr. Darcy en 'Orgullo y Prejuicio'?;Fácil;Fitzwilliam;George;William;Charles
¿De qué autor son las 'Confesiones de un inglés comedor de opio'?;Fácil;Thomas de Quincey;Samuel Taylor Coleridge;William S. Burroughs;Aldous Huxley
¿Qué escritora británica es conocida por sus novelas policíacas protagonizadas por el detective Hercule Poirot?;Fácil;Agatha Christie;P.D. James;Ruth Rendell;Dorothy L. Sayers
¿En qué novela encontramos el personaje de Micawber, siempre esperando 'algo favorable que ocurrirá'?;Fácil;David Copperfield;Oliver Twist;Grandes esperanzas;Casa desolada
¿Quién escribió 'Don Juan Tenorio'?;Fácil;José Zorrilla;Gustavo Adolfo Bécquer;Lope de Vega;Pedro Calderón de la Barca
¿Qué autor es famoso por sus historias de la mesa redonda y el rey Arturo?;Fácil;Thomas Malory;Geoffrey Chaucer;John Milton;William Langland
¿Qué escritor estadounidense es el autor de 'Las Uvas de la Ira'?;Fácil;John Steinbeck;Ernest Hemingway;F. Scott Fitzgerald;William Faulkner
¿Qué poeta inglés escribió 'Oda a un ruiseñor'?;Fácil;John Keats;William Wordsworth;Samuel Taylor Coleridge;Percy Bysshe Shelley
¿Quién es el autor de 'Fahrenheit 451'?;Fácil;Ray Bradbury;Isaac Asimov;Philip K. Dick;Arthur C. Clarke
¿Qué escritor y poeta estadounidense es conocido por su poema 'The Road Not Taken'?;Fácil;Robert Frost;Walt Whitman;Langston Hughes;Carl Sandburg
¿Cuál es el título del libro en el que aparece 'El Gran Gatsby'?;Fácil;El Gran Gatsby;La luz de la ciudad;Daisy Miller;Este lado del paraíso
¿Qué autor(a) de ciencia ficción escribió la serie de libros 'La Fundación'?;Fácil;Isaac Asimov;Robert A. Heinlein;Ursula K. Le Guin;Frank Herbert
¿Qué pareja icónica de amantes aparece en la obra 'Antonio y Cleopatra' de Shakespeare?;Fácil;Antonio y Cleopatra;Romeo y Julieta;Tristán e Isolda;Petrarca y Laura
¿En qué obra de Aristófanes los personajes femeninos realizan una huelga sexual para poner fin a la guerra?;Fácil;Lisístrata;Las nubes;Las ranas;La asamblea de las mujeres
¿Quién es el creador de la serie 'Fundación'?;Fácil;Isaac Asimov;Arthur C. Clarke;Kurt Vonnegut;Douglas Adams
¿Qué novelista inglés escribió 'La Feria de las Vanidades'?;Fácil;William Makepeace Thackeray;Charles Dickens;Anthony Trollope;George Eliot
¿Cuál es la profesión del personaje principal en 'Madame Bovary' de Gustave Flaubert?;Fácil;Médico;Abogado;Alcalde;Escultor
¿Qué histórica novela de León Uris cuenta la historia de la fundación del Estado de Israel?;Fácil;Éxodo;Milagro;Trinidad;QB VII
¿Qué escritor ruso es famoso por su novela 'Lolita'?;Fácil;Vladimir Nabokov;Alexandr Solzhenitsyn;Mijaíl Bulgákov;Iván Bunin
¿Cuál es el clásico libro infantil que tiene por personajes a un tigre, un canguro, y un oso de peluche?;Fácil;Winnie the Pooh;Jungle Book;Where the Wild Things Are;Charlotte's Web
¿En qué obra Shakespeare escribe 'La comedia está terminada'?;Fácil;El sueño de una noche de verano;Mucho ruido y pocas nueces;Medida por medida;La tempestad
¿Quién escribió la serie de novelas de fantasía 'La Rueda del Tiempo'?;Fácil;Robert Jordan;Terry Goodkind;Terry Pratchett;Brandon Sanderson
¿Qué autor de ciencia ficción escribió 'Neuromante'?;Fácil;William Gibson;Neal Stephenson;Bruce Sterling;Philip K. Dick
¿Qué escritora escribió 'Persuasión', su última novela completada?;Fácil;Jane Austen;Charlotte Brontë;Mary Shelley;Virginia Woolf
¿Qué novela de Herman Hesse cuenta la historia de un joven llamado Siddhartha durante el tiempo de Buda?;Fácil;Siddhartha;Steppenwolf;Demian;Narciso y Goldmundo
¿Quién es conocido por escribir el poema épico 'El Paraíso Perdido'?;Fácil;John Milton;William Blake;Percy Bysshe Shelley;Edmund Spenser
¿Qué autor escribió 'De ratones y hombres'?;Fácil;John Steinbeck;Jack London;Ernest Hemingway;William Faulkner
¿Qué autor creó el famoso personaje de la literatura Dr. Jekyll y Mr. Hyde?;Fácil;Robert Louis Stevenson;Arthur Conan Doyle;H.G. Wells;Bram Stoker
¿Cuál es la obra maestra épica de John Milton que relata la caída de Adán y Eva?;Fácil;El Paraíso Perdido;El Paraíso Recobrado;El Infierno;Dante's Inferno
¿Qué libro de Aldous Huxley describe una sociedad distópica y futurista?;Fácil;Un mundo feliz;1984;La máquina del tiempo;Fahrenheit 451
¿Qué reconocido poema narrativo escribió Samuel Taylor Coleridge?;Fácil;La balada del viejo marinero;Oda al viento del oeste;Don Juan;Hyperion
¿Qué novelista francés escribió 'La peste'?;Fácil;Albert Camus;Jean-Paul Sartre;Gustave Flaubert;Emile Zola
¿Qué poeta escribió 'Las flores del mal'?;Fácil;Charles Baudelaire;Arthur Rimbaud;Paul Verlaine;Stéphane Mallarmé
¿Quién escribió 'El guardián entre el centeno'?;Fácil;J.D. Salinger;John Steinbeck;William Golding;F. Scott Fitzgerald
¿En qué novela distópica de Ray Bradbury los libros están prohibidos y 'los bomberos queman libros'?;Fácil;Fahrenheit 451;Crónicas marcianas;La ciudad y las estrellas;El fin de la infancia
¿Quién es el autor de la novela 'El nombre de la rosa', que incluye elementos de misterio y ambientación medieval?;Fácil;Umberto Eco;Carlos Ruiz Zafón;Arturo Pérez-Reverte;Jorge Luis Borges
¿Qué famosa novela de Harper Lee cuenta la historia de Atticus Finch, un abogado que defiende a un hombre negro acusado injustamente?;Fácil;Matar un ruiseñor;El color púrpura;La cabaña del tío Tom;Luz de agosto
¿Cuál es el seudónimo bajo el cual escribió Mary Ann Evans?;Fácil;George Eliot;George Sand;George Orwell;C. S. Lewis
¿Qué famoso autor estadounidense escribió 'Las aventuras de Tom Sawyer'?;Fácil;Mark Twain;Ernest Hemingway;F. Scott Fitzgerald;John Steinbeck
¿Qué escritora es conocida por el libro 'Frankenstein o el Prometeo moderno'?;Fácil;Mary Shelley;Jane Austen;Emily Brontë;Louisa May Alcott
¿En qué novela aparece un caballo llamado Rocinante?;Fácil;Don Quijote de la Mancha;La guerra de los mundos;La llamada de la selva;Black Beauty
¿Cuál es el trabajo más famoso del poeta griego Homero?;Fácil;La Ilíada;Las geórgicas;La eneida;Las metamorfosis
¿Qué poeta estadounidense es conocido por 'La Hoja de Hierba'?;Fácil;Walt Whitman;Robert Frost;Emily Dickinson;T.S. Eliot
¿Cuál es el popular libro infantil de Dr. Seuss que comienza con 'No me gusta nada, Sam Soy'?;Fácil;Huevos verdes con jamón;El gato en el sombrero;¡Cómo el Grinch robó la Navidad!;Uno Pez, Dos Peces, Pez Rojo, Pez Azul
¿Quién escribió el poema épico 'Beowulf'?;Fácil;Desconocido;Geoffrey Chaucer;William Shakespeare;Dante Alighieri
¿Qué novela de Charles Dickens se centra en la historia de un huérfano llamado Pip?;Fácil;Grandes esperanzas;David Copperfield;Oliver Twist;Canción de Navidad
¿De qué autor fue discípulo Virgilio, que escribió el poema didáctico 'Georgicas'?;Fácil;Publio Virgilio Marón;Horacio;Ovidio;Cicerón
¿Quién escribió 'Orgullo y Prejuicio'?;Fácil;Jane Austen;Emily Brontë;Charlotte Brontë;George Eliot
¿Qué autor creó al personaje de Ebenezer Scrooge?;Fácil;Charles Dickens;Mark Twain;Oscar Wilde;Hans Christian Andersen
¿Qué poeta inglés escribió 'Kubla Khan'?;Fácil;Samuel Taylor Coleridge;John Keats;Percy Bysshe Shelley;William Blake
¿Cuál es el nombre del vampiro en la novela de Bram Stoker?;Fácil;Drácula;Lestat;Blade;Edward Cullen
¿En qué novela distópica puede encontrarse la noción de 'doblepensar'?;Fácil;1984;Un mundo feliz;Nosotros;La ola
¿Qué famoso personaje de la literatura dijo 'Elemental, mi querido Watson'?;Fácil;Sherlock Holmes;Hércules Poirot;Auguste Dupin;Philip Marlowe
¿En qué novela aparece el abogado Atticus Finch?;Fácil;Matar un ruiseñor;El gran Gatsby;Lolita;El guardián entre el centeno
¿Qué novela se titula en inglés 'To Kill a Mockingbird'?;Fácil;Matar un ruiseñor;El sol también se levanta;El Señor de las Moscas;Catcher in the Rye
¿Cómo se llama la finca en la novela 'Rebelión en la granja'?;Fácil;Granja Manor;Granja Ponderosa;Granja Southfork;Granja Green Acres
¿Quién es el autor de la novela 'El viejo y el mar'?;Fácil;Ernest Hemingway;John Steinbeck;William Faulkner;F. Scott Fitzgerald
¿Cuál es el segundo nombre de Jo en 'Mujercitas'?;Fácil;March;Smith;Brooke;Laurence
¿Quién escribió la serie 'La Torre Oscura'?;Fácil;Stephen King;George R.R. Martin;J.K. Rowling;Terry Brooks
¿De quién es el famoso poema 'A una pulga' conocido por su ingenioso humor?;Fácil;John Donne;William Shakespeare;Geoffrey Chaucer;Andrew Marvell
¿Qué escritora nigeriana es conocida por su novela 'Medio sol amarillo'?;Fácil;Chimamanda Ngozi Adichie;Buchi Emecheta;Flora Nwapa;Sefi Atta
¿Qué novela de Joseph Conrad cuenta la historia de un viaje río arriba por el Congo?;Fácil;El corazón de las tinieblas;Nostromo;El agente secreto;Lord Jim
¿Quién escribió 'El amor en los tiempos del cólera'?;Fácil;Gabriel García Márquez;Mario Vargas Llosa;Julio Cortázar;Carlos Fuentes
¿Qué escritor creó al personaje de Jack Ryan, que aparece en novelas como 'La caza del Octubre Rojo'?;Fácil;Tom Clancy;John le Carré;Ian Fleming;Robert Ludlum
¿Cuál es la profesión de Hank Morgan en 'Un yanqui en la corte del rey Arturo' de Mark Twain?;Fácil;Ingeniero;Caballero;Hechicero;Juez
¿Quién escribió 'El cuento de la criada', que luego fue adaptado en una popular serie de televisión?;Fácil;Margaret Atwood;Joyce Carol Oates;Alice Munro;Ursula K. Le Guin
¿En qué clásico inglés un grupo de niños sobrevive a un naufragio y queda varado en una isla deshabitada?;Fácil;El Señor de las Moscas;Coral Island;La aventura de los cinco;El jardín secreto
¿Cómo se llama el protagonista en 'El hobbit' de J.R.R. Tolkien?;Fácil;Bilbo Bolsón;Frodo Bolsón;Gandalf;Aragorn
¿Qué famoso autor escribió 'Sobre héroes y tumbas'?;Fácil;Ernesto Sabato;Jorge Luis Borges;Julio Cortázar;Adolfo Bioy Casares
¿En qué novela clásica encontrarías a los personajes Estella y Joe Gargery?;Fácil;Grandes esperanzas;Orgullo y prejuicio;Jane Eyre;El molino del Floss
¿Cuál es el nombre de la criatura en 'Frankenstein'?;Fácil;No tiene;Adam;Frank;Prometeo
¿Qué autor es famoso por su narrativa de detectives que incluye al detective privado Philip Marlowe?;Fácil;Raymond Chandler;Dashiell Hammett;Agatha Christie;Sir Arthur Conan Doyle
¿Qué obra teatral de Thornton Wilder representa la vida en el pueblo ficticio de Grover's Corners?;Fácil;Nuestro pueblo;La muerte de un viajante;Long Day's Journey Into Night;The Iceman Cometh
¿Quién escribió 'Cántico por Leibowitz', una novela posapocalíptica de ciencia ficción?;Fácil;Walter M. Miller Jr.;Philip K. Dick;Arthur C. Clarke;Robert Heinlein
¿Qué personaje literario dijo 'Nunca digas adiós, porque decir adiós significa irse, e irse significa olvidar'?;Fácil;Peter Pan;Harry Potter;Frodo Bolsón;Anne Shirley
¿Quién es la autora de la novela 'La casa de los espíritus'?;Fácil;Isabel Allende;Gabriela Mistral;Laura Esquivel;Elena Poniatowska
¿Qué escritor norteamericano es conocido por su novela 'Bajo la rueda'?;Fácil;Hermann Hesse;Jack London;Upton Sinclair;John Updike
¿Quién escribió un famoso diario durante el período del Holocausto?;Fácil;Ana Frank;Víctor Klemperer;Etty Hillesum;Irène Némirovsky
¿Cuál es el pseudónimo del autor de 'Las aventuras de Sherlock Holmes'?;Fácil;Sir Arthur Conan Doyle;Robert Galbraith;Ellery Queen;Richard Bachman
¿Qué escritor creó el mundo ficticio conocido como la Comarca?;Fácil;J.R.R. Tolkien;C.S. Lewis;George R.R. Martin;Terry Pratchett
¿Qué autor imaginó un futuro de 'noticias falsas' en su novela '1984'?;Fácil;George Orwell;Aldous Huxley;Ray Bradbury;Philip K. Dick
¿Quién escribió la novela gótica 'Drácula'?;Fácil;Bram Stoker;Mary Shelley;Anne Rice;Stephen King
¿Qué autor creó al personaje Jack Reacher?;Fácil;Lee Child;Tom Clancy;John Grisham;Stephen Leather
¿Quién es el autor de la famosa novela negra 'La dama del lago'?;Fácil;Raymond Chandler;Mickey Spillane;James Ellroy;Ross Macdonald
¿Quién escribió la novela 'Germinal'?;Fácil;Émile Zola;Alexandre Dumas;Gustave Flaubert;Honoré de Balzac
¿Qué autor es conocido por la novela 'El extranjero'?;Fácil;Albert Camus;Jean-Paul Sartre;André Malraux;Camilo José Cela
¿Cómo se llama el pastelero quien tiene un famoso encuentro con un grupo de ratones en 'El Grúfalo'?;Fácil;La serpiente;El búho;El zorro;El ratón
¿Qué poeta escribió 'A Red, Red Rose'?;Fácil;Robert Burns;Edgar Allan Poe;Ralph Waldo Emerson;William Blake
¿Quién es el autor de 'En busca del tiempo perdido'?;Fácil;Marcel Proust;James Joyce;Virginia Woolf;Thomas Mann
¿De qué autor son los libros 'Cita con Rama' y 'El fin de la infancia'?;Fácil;Arthur C. Clarke;Isaac Asimov;Frederik Pohl;Larry Niven
¿Qué personaje creó J.K. Rowling?;Fácil;Harry Potter;Frodo Bolsón;Katniss Everdeen;Percy Jackson
¿Qué escritor inglés es conocido por su serie de novelas 'Espada de la Verdad'?;Fácil;Terry Goodkind;Terry Brooks;George R.R. Martin;Brandon Sanderson
¿Qué nombre comparte una famosa novela de José Saramago y un fenómeno bíblico?;Fácil;Ensayo sobre la ceguera;La caverna;El hombre duplicado;Caín
¿Quién escribió 'El señor de las moscas'?;Fácil;William Golding;Aldous Huxley;John Fowles;Graham Greene
¿Qué autor español es conocido por la novela 'La sombra del viento'?;Fácil;Carlos Ruiz Zafón;Javier Marías;Eduardo Mendoza;Arturo Pérez-Reverte
¿Qué autor es famoso por la novela 'Grandes esperanzas'?;Fácil;Charles Dickens;William Makepeace Thackeray;George Eliot;Anthony Trollope
¿En qué obra de literatura puedes encontrar un lugar llamado 'Castillo Drácula'?;Fácil;Drácula;Carmilla;Entrevista con el vampiro;El club Dumas
¿Qué escritor creó el personaje de la detective Miss Marple?;Fácil;Agatha Christie;P.D. James;Ruth Rendell;Dorothy L. Sayers
¿Qué autor escribió la trilogía 'Los juegos del hambre'?;Fácil;Suzanne Collins;Veronica Roth;James Dashner;Kiera Cass
¿Quién escribió la serie de fantasía 'La materia oscura'?;Fácil;Philip Pullman;Neil Gaiman;Rick Riordan;Lev Grossman
¿Qué novelista ruso escribió 'El jugador'?;Fácil;Fiódor Dostoievski;León Tolstói;Antón Chéjov;Vladimir Nabokov
¿Quién es el autor de la novela 'La insoportable levedad del ser'?;Fácil;Milan Kundera;Gabriel García Márquez;Haruki Murakami;Kazuo Ishiguro
¿Qué autor escribió 'El viejo que leía novelas de amor'?;Fácil;Luis Sepúlveda;Isabel Allende;Mario Vargas Llosa;Gabriel García Márquez
¿Cuál es la famosa novela de Alexandre Dumas que tiene por personajes a Athos, Porthos y Aramis?;Fácil;Los tres mosqueteros;El conde de Montecristo;La dama de las camelias;El tulipán negro
¿Qué autor británico escribió 'Pasaje a la India'?;Fácil;E. M. Forster;Graham Greene;Rudyard Kipling;Lawrence Durrell
¿Qué poeta estadounidense es conocida por su extensa obra sobre la vida en Nueva Inglaterra, incluyendo 'La muerte de un contratista de alquiler'?;Fácil;Robert Frost;Emily Dickinson;Langston Hughes;Walt Whitman
¿Quién es conocido por haber escrito 'La conjura de los necios'?;Fácil;John Kennedy Toole;Truman Capote;Walker Percy;Flannery O'Connor
¿Qué poeta inglés escribió 'Los cantos de Maldoror'?;Fácil;Conde de Lautréamont;William Wordsworth;John Milton;Percy Bysshe Shelley
¿Quién escribió 'Una habitación propia', un ensayo sobre la mujer y la ficción?;Fácil;Virginia Woolf;Simone de Beauvoir;Gertrude Stein;Dorothy Parker
¿Qué autor irlandés es conocido por sus obras 'Esperando a Godot' y 'Fin de partida'?;Fácil;Samuel Beckett;James Joyce;Oscar Wilde;George Bernard Shaw
¿Qué reconocido autor africano escribió 'Todo se desmorona'?;Fácil;Chinua Achebe;Wole Soyinka;Ngũgĩ wa Thiong'o;Ben Okri
¿Qué escritor estadounidense es famoso por haber escrito 'Pálido fuego' y 'Habla, memoria'?;Fácil;Vladimir Nabokov;Ernest Hemingway;F. Scott Fitzgerald;William Faulkner
¿Qué escritor latinoamericano obtuvo el Premio Nobel de Literatura en 2010?;Fácil;Mario Vargas Llosa;Gabriel García Márquez;Octavio Paz;Pablo Neruda
¿Quién es el autor de la novela 'La carretera', ganadora del Premio Pulitzer?;Fácil;Cormac McCarthy;Jonathan Franzen;Don DeLillo;Philip Roth
¿Qué autor francés es bien conocido por sus novelas de la serie Comisario Maigret?;Fácil;Georges Simenon;Henri Barbusse;Émile Gaboriau;Maurice Leblanc
¿Qué poeta chileno ganó el Premio Nobel de Literatura en 1971?;Fácil;Pablo Neruda;Gabriela Mistral;Vicente Huidobro;Nicanor Parra
¿Quién escribió 'La elegancia del erizo', una novela que explora encuentros inesperados dentro un edificio de apartamentos en París?;Fácil;Muriel Barbery;Anna Gavalda;Éric-Emmanuel Schmitt;Amélie Nothomb
¿Qué autor estadounidense escribió la novela postapocalíptica 'El camino'?;Fácil;Cormac McCarthy;John Steinbeck;Philip K. Dick;Kurt Vonnegut
¿Qué escritor es conocido por la trilogía 'Mi lucha', una obra autobiográfica en seis volúmenes?;Fácil;Karl Ove Knausgård;Elena Ferrante;Haruki Murakami;Jonathan Franzen
¿Qué escritor francés es famoso por las novelas 'Los miserables' y 'Nuestra Señora de París'?;Fácil;Victor Hugo;Alexandre Dumas;Émile Zola;Gustave Flaubert
¿Qué autor colombiano es famoso por su obra 'Cien años de soledad'?;Fácil;Gabriel García Márquez;Mario Vargas Llosa;Juan Gabriel Vásquez;Álvaro Mutis
¿Cuál es el título del libro de Harper Lee, secuela de 'Matar a un ruiseñor', publicado en 2015?;Fácil;Ve y pon un centinela;Para matar a un ruiseñor;El guardián entre el centeno;Regreso a Maycomb
¿Qué escritor y dramaturgo irlandés escribió 'Esperando a Godot'?;Fácil;Samuel Beckett;Seamus Heaney;James Joyce;George Bernard Shaw
¿Qué autor italiano es conocido por la novela 'La soledad de los números primos'?;Fácil;Paolo Giordano;Umberto Eco;Italo Calvino;Elena Ferrante
¿Quién escribió 'El amante de Lady Chatterley'?;Fácil;D.H. Lawrence;Ian McEwan;E.M. Forster;Aldous Huxley
¿Qué poeta inglés es conocido por su poema 'Preludes', un retrato de la vida urbana?;Fácil;T.S. Eliot;William Blake;Matthew Arnold;John Keats
¿Qué escritora es conocida por su novela 'The Handmaid's Tale'?;Fácil;Margaret Atwood;Alice Munro;Joyce Carol Oates;Toni Morrison
¿Cuál es el nombre completo de la autora conocida como J.K. Rowling?;Fácil;Joanne Kathleen Rowling;Joanne Karen Rowling;Joanne Katherine Rowling;Joanne Kelly Rowling
¿Qué autor escribió 'El señor de las moscas'?;Fácil;William Golding;Graham Greene;J.D. Salinger;John Steinbeck
¿Qué poeta y novelista estadounidense escribió 'Leaves of Grass'?;Fácil;Walt Whitman;Robert Frost;Emily Dickinson;Herman Melville
¿En qué novela de ciencia ficción la Tierra es destruida para hacer una vía hiperespacial?;Fácil;The Hitchhiker's Guide to the Galaxy;Foundation;Dune;Neuromancer
¿Qué escritor uruguayo es conocido por sus cuentos en 'Cuentos de la selva'?;Fácil;Horacio Quiroga;Eduardo Galeano;Juan Carlos Onetti;Mario Benedetti
¿Qué autor británico escribió 'El señor de las moscas'?;Fácil;William Golding;Ian McEwan;Kazuo Ishiguro;Aldous Huxley
¿Qué famoso autor ruso escribió 'Anna Karenina'?;Fácil;León Tolstói;Anton Chejov;Alexander Pushkin;Nikolai Gogol
¿Quién es la autora de la serie de libros 'Outlander'?;Fácil;Diana Gabaldon;Suzanne Collins;Deborah Harkness;Sarah J. Maas
¿Qué escritora inglesa es conocida por sus novelas románticas ambientadas en la Regencia, como 'Orgullo y Prejuicio'?;Fácil;Jane Austen;Charlotte Brontë;Elizabeth Gaskell;Georgette Heyer
¿Qué autor escribió la serie de misterio y ficción 'The No. 1 Ladies' Detective Agency'?;Fácil;Alexander McCall Smith;M.C. Beaton;Ann Cleeves;P.D. James
¿Quién escribió 'Canción de hielo y fuego', la serie de libros en los que se basa el programa de televisión 'Juego de Tronos'?;Fácil;George R.R. Martin;Patrick Rothfuss;Brandon Sanderson;Robert Jordan
¿Qué autor de ciencia ficción escribió la serie 'Dune'?;Fácil;Frank Herbert;Arthur C. Clarke;Philip K. Dick;Brian Aldiss
¿Cuál es el título del segundo libro de la serie 'Harry Potter'?;Fácil;Harry Potter y la cámara secreta;Harry Potter y el prisionero de Azkaban;Harry Potter y el cáliz de fuego;Harry Potter y la Orden del Fénix
¿Qué filósofo francés escribió 'El segundo sexo', un texto fundamental para el movimiento feminista?;Fácil;Simone de Beauvoir;Jean-Paul Sartre;Michel Foucault;Albert Camus
¿Qué poeta chileno escribió 'Canto general' y recibió el Premio Nobel de Literatura en 1971?;Fácil;Pablo Neruda;Gabriela Mistral;Vicente Huidobro;Nicanor Parra
¿Qué escritor y poeta es conocido por sus historias de terror, incluyendo 'La caída de la casa Usher'?;Fácil;Edgar Allan Poe;H.P. Lovecraft;Stephen King;Clive Barker
¿Qué autor inglés es famoso por su novela distópica 'Un mundo feliz'?;Fácil;Aldous Huxley;George Orwell;William Golding;Anthony Burgess
¿Qué autor estadounidense escribió 'Desayuno en Tiffany's'?;Fácil;Truman Capote;J.D. Salinger;F. Scott Fitzgerald;Ernest Hemingway
¿Qué escritora ganó un Premio Pulitzer por su novela 'El color púrpura'?;Fácil;Alice Walker;Toni Morrison;Maya Angelou;Zora Neale Hurston
